# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 0) + 26.992 us   |                            }
 1)   4.656 us    |                              __rcu_read_lock();
 0)               |                            run_local_timers() {
 0)   5.088 us    |                              hrtimer_run_queues();
 1)   5.024 us    |                              __rcu_read_unlock();
 1) + 29.024 us   |                            }
 0)               |                              raise_softirq() {
 1)   4.800 us    |                            __rcu_read_lock();
 0)   5.152 us    |                                __raise_softirq_irqoff();
 1)   5.088 us    |                            __rcu_read_unlock();
 0) + 15.920 us   |                              }
 0) + 37.280 us   |                            }
 0)               |                            rcu_sched_clock_irq() {
 0)   5.280 us    |                              rcu_segcblist_ready_cbs();
 1) + 79.472 us   |                          }
 1) ! 154.432 us  |                        }
 0) + 17.504 us   |                            }
 1)   5.664 us    |                        run_posix_cpu_timers();
 0)               |                            scheduler_tick() {
 0)   5.184 us    |                              _raw_spin_lock();
 1) ! 273.920 us  |                      }
 1)   5.424 us    |                      profile_tick();
 0)   6.592 us    |                              update_rq_clock.part.0();
 1) ! 296.592 us  |                    }
 1)   5.328 us    |                    hrtimer_forward();
 0)   6.704 us    |                              task_tick_idle();
 1) ! 616.320 us  |                  }
 0)   6.400 us    |                              calc_global_load_tick();
 1)   6.608 us    |                  _raw_spin_lock_irq();
 0)   5.184 us    |                              _raw_spin_unlock();
 1)   5.744 us    |                  enqueue_hrtimer();
 0)               |                              trigger_load_balance() {
 1) ! 664.288 us  |                }
 0)               |                                raise_softirq() {
 1)   4.976 us    |                __hrtimer_next_event_base();
 0)   4.512 us    |                                  __raise_softirq_irqoff();
 1)   5.296 us    |                __hrtimer_next_event_base();
 0) + 13.840 us   |                                }
 0) + 24.192 us   |                              }
 1)   4.976 us    |                _raw_spin_unlock_irqrestore();
 0) + 90.176 us   |                            }
 0)   6.800 us    |                            run_posix_cpu_timers();
 1)               |                tick_program_event() {
 1)               |                  clockevents_program_event() {
 0) ! 208.896 us  |                          }
 0)   5.264 us    |                          profile_tick();
 1)               |                    ktime_get() {
 1)   6.368 us    |                      arch_counter_read();
 0) ! 229.856 us  |                        }
 0)   5.824 us    |                        hrtimer_forward();
 1) + 16.912 us   |                    }
 1) + 65.344 us   |                    arch_timer_set_next_event_virt();
 1) ! 101.680 us  |                  }
 1) ! 112.384 us  |                }
 1) ! 856.336 us  |              }
 1) ! 870.352 us  |            }
 1) + 37.248 us   |            gic_eoi_irq();
 0) ! 300.864 us  |                      }
 1) ! 925.920 us  |          }
 0) ! 110.720 us  |                      _raw_spin_lock_irq();
 1)               |          irq_exit() {
 0) + 10.928 us   |                      enqueue_hrtimer();
 0) ! 621.616 us  |                    }
 0)   5.984 us    |                    __hrtimer_next_event_base();
 0)   6.672 us    |                    __hrtimer_next_event_base();
 1) + 24.064 us   |            irqtime_account_irq();
 0)   5.536 us    |                    _raw_spin_unlock_irqrestore();
 0)               |                    tick_program_event() {
 0)               |                      clockevents_program_event() {
 1)   6.832 us    |            ksoftirqd_running();
 0)               |                        ktime_get() {
 0)   6.656 us    |                          arch_counter_read();
 1)               |            __do_softirq() {
 1)   5.232 us    |              irqtime_account_irq();
 0) + 17.072 us   |                        }
 0) + 38.512 us   |                        arch_timer_set_next_event_virt();
 0) + 72.432 us   |                      }
 0) + 82.912 us   |                    }
 1)               |              run_timer_softirq() {
 0) ! 792.336 us  |                  }
 0) ! 808.976 us  |                }
 0) + 37.520 us   |                gic_eoi_irq();
 1)   6.944 us    |                _raw_spin_lock_irq();
 0) ! 865.168 us  |              }
 0)               |              irq_exit() {
 0)   6.016 us    |                irqtime_account_irq();
 1) + 10.144 us   |                __next_timer_interrupt();
 0)   6.352 us    |                ksoftirqd_running();
 1)   7.600 us    |                _raw_spin_unlock_irq();
 0)               |                __do_softirq() {
 0) + 24.656 us   |                  irqtime_account_irq();
 1) + 28.448 us   |                _raw_spin_lock_irq();
 0)               |                  run_timer_softirq() {
 1)   6.544 us    |                __next_timer_interrupt();
 0)   5.200 us    |                    _raw_spin_lock_irq();
 1)   5.008 us    |                _raw_spin_unlock_irq();
 0)   7.936 us    |                    __next_timer_interrupt();
 1) ! 209.664 us  |              }
 1)               |              run_rebalance_domains() {
 0)   5.648 us    |                    _raw_spin_unlock_irq();
 1)               |                update_blocked_averages() {
 0)   8.560 us    |                    _raw_spin_lock_irq();
 1)   6.512 us    |                  _raw_spin_lock_irqsave();
 0)   6.480 us    |                    __next_timer_interrupt();
 1)               |                  update_rq_clock() {
 1)               |                    update_rq_clock.part.0() {
 0)   5.200 us    |                    _raw_spin_unlock_irq();
 1)   5.888 us    |                      update_irq_load_avg();
 0) + 77.376 us   |                  }
 1) + 17.952 us   |                    }
 0)               |                  run_rebalance_domains() {
 1) + 27.968 us   |                  }
 0)               |                    update_blocked_averages() {
 1)   7.072 us    |                  update_rt_rq_load_avg();
 0)   5.376 us    |                      _raw_spin_lock_irqsave();
 1)   7.152 us    |                  update_dl_rq_load_avg();
 0)               |                      update_rq_clock() {
 0)               |                        update_rq_clock.part.0() {
 1)   5.968 us    |                  update_irq_load_avg();
 0)   6.016 us    |                          update_irq_load_avg();
 1)   6.400 us    |                  __update_load_avg_cfs_rq();
 0) + 17.392 us   |                        }
 0) + 28.800 us   |                      }
 0)   6.224 us    |                      update_rt_rq_load_avg();
 1)   5.280 us    |                  __update_load_avg_cfs_rq();
 1)   5.280 us    |                  _raw_spin_unlock_irqrestore();
 1) ! 124.960 us  |                }
 1)               |                rebalance_domains() {
 0)   7.632 us    |                      update_dl_rq_load_avg();
 1)   4.512 us    |                  __rcu_read_lock();
 1)   5.088 us    |                  __msecs_to_jiffies();
 0)   5.968 us    |                      update_irq_load_avg();
 1)               |                  load_balance() {
 0)   7.872 us    |                      __update_load_avg_cfs_rq();
 1)   5.136 us    |                    idle_cpu();
 0)   5.808 us    |                      _raw_spin_unlock_irqrestore();
 1)   5.808 us    |                    group_balance_cpu();
 0) ! 131.056 us  |                    }
 0)               |                    rebalance_domains() {
 1)               |                    find_busiest_group() {
 0)   4.896 us    |                      __rcu_read_lock();
 1)               |                      update_group_capacity() {
 0)   5.312 us    |                      __msecs_to_jiffies();
 1)   4.688 us    |                        __msecs_to_jiffies();
 0)               |                      load_balance() {
 1) + 15.200 us   |                      }
 0)   5.312 us    |                        idle_cpu();
 1)   5.280 us    |                      idle_cpu();
 0)               |                        find_busiest_group() {
 1) + 47.456 us   |                    }
 0)               |                          update_group_capacity() {
 1) + 89.424 us   |                  }
 0)   4.544 us    |                            __msecs_to_jiffies();
 1)   4.992 us    |                  __msecs_to_jiffies();
 0) + 14.496 us   |                          }
 1)   6.736 us    |                  __rcu_read_unlock();
 0)   6.464 us    |                          idle_cpu();
 1) ! 143.840 us  |                }
 1) ! 284.704 us  |              }
 0) + 45.792 us   |                        }
 1)   8.400 us    |              irqtime_account_irq();
 0) + 72.432 us   |                      }
 0)   5.424 us    |                      __msecs_to_jiffies();
 1) ! 538.368 us  |            }
 1)   5.120 us    |            idle_cpu();
 0)   6.800 us    |                      __rcu_read_unlock();
 0) ! 130.560 us  |                    }
 1)   5.808 us    |            rcu_irq_exit();
 0) ! 277.488 us  |                  }
 0)   6.096 us    |                  irqtime_account_irq();
 1) ! 801.504 us  |          }
 1) # 1827.568 us |        }
 0) ! 417.184 us  |                }
 1) # 1852.000 us |      }
 1)   <========== |
 0) + 54.832 us   |                idle_cpu();
 1) # 2602.784 us |    }
 1)   6.928 us    |    sched_ttwu_pending();
 1)               |    schedule_idle() {
 1)               |      rcu_note_context_switch() {
 0)   7.600 us    |                tick_nohz_irq_exit();
 1)   4.880 us    |        rcu_preempt_deferred_qs();
 0)   5.776 us    |                rcu_irq_exit();
 1) + 15.408 us   |      }
 1)   6.144 us    |      _raw_spin_lock();
 0) ! 547.392 us  |              }
 0) # 1537.376 us |            }
 1)               |      pick_next_task_fair() {
 0) # 1585.120 us |          }
 0)   <========== |
 1)   6.080 us    |        put_prev_task_idle();
 0) # 1604.944 us |        }
 0) # 1618.048 us |      }
 1)               |        pick_next_entity() {
 0) # 3758.864 us |    } /* schedule_idle */
 1)   5.184 us    |          clear_buddies();
 0) @ 244162.8 us |  } /* do_idle */
 1) + 15.536 us   |        }
 0)               |  do_idle() {
 1)               |        set_next_entity() {
 0)               |    tick_nohz_idle_enter() {
 1)   7.296 us    |          __update_load_avg_se();
 0)               |      ktime_get() {
 0)   5.392 us    |        arch_counter_read();
 1)   5.120 us    |          __update_load_avg_cfs_rq();
 0) + 16.336 us   |      }
 1) + 29.744 us   |        }
 0) + 29.056 us   |    }
 1)               |        pick_next_entity() {
 0)   5.712 us    |    arch_cpu_idle_enter();
 1)   5.456 us    |          clear_buddies();
 0)   5.344 us    |    tick_check_broadcast_expired();
 1) + 14.816 us   |        }
 1)               |        set_next_entity() {
 1)   5.040 us    |          __update_load_avg_se();
 0)   5.584 us    |    cpuidle_get_cpu_driver();
 1)   4.816 us    |          __update_load_avg_cfs_rq();
 0)   5.776 us    |    cpuidle_not_available();
 1) + 24.368 us   |        }
 1) ! 119.888 us  |      }
 0)               |    tick_nohz_idle_stop_tick() {
 0)   5.376 us    |      can_stop_idle_tick();
 1)               |      fpsimd_thread_switch() {
 0)               |      tick_nohz_next_event() {
 1)               |        fpsimd_save() {
 0)   5.456 us    |        rcu_needs_cpu();
 1)   5.840 us    |          have_cpu_fpsimd_context();
 1) + 15.728 us   |        }
 0)               |        get_next_timer_interrupt() {
 1) + 26.528 us   |      }
 0)   5.904 us    |          _raw_spin_lock();
 1)   5.088 us    |      hw_breakpoint_thread_switch();
 0)   7.632 us    |          __next_timer_interrupt();
 1)   6.240 us    |      uao_thread_switch();
 0)   5.392 us    |          _raw_spin_unlock();
 ------------------------------------------
 1)    <idle>-0    =>     sh-160    
 ------------------------------------------

 1)               |                finish_task_switch() {
 1)   5.232 us    |                  _raw_spin_unlock_irq();
 0)               |          hrtimer_get_next_event() {
 0)   5.264 us    |            _raw_spin_lock_irqsave();
 1) + 16.704 us   |                }
 1) @ 238623.7 us |              } /* schedule */
 0)   5.552 us    |            _raw_spin_unlock_irqrestore();
 1) @ 238638.7 us |            } /* schedule_hrtimeout_range_clock */
 1) @ 238650.2 us |          } /* schedule_hrtimeout_range */
 0) + 29.360 us   |          }
 1)   7.888 us    |          __fdget();
 0) + 80.224 us   |        }
 1)               |          tty_poll() {
 1)               |            tty_ldisc_ref_wait() {
 0) + 13.008 us   |        timekeeping_max_deferment();
 1)   5.808 us    |              ldsem_down_read();
 1) + 15.952 us   |            }
 1)               |            n_tty_poll() {
 0) ! 135.280 us  |      }
 1)   5.040 us    |              tty_hung_up_p();
 0) + 14.336 us   |      calc_load_nohz_start();
 1)   5.072 us    |              mutex_is_locked();
 1)               |              tty_chars_in_buffer() {
 1)               |                uart_chars_in_buffer() {
 0) + 12.704 us   |      quiet_vmstat();
 1)   5.216 us    |                  _raw_spin_lock_irqsave();
 1)   5.200 us    |                  _raw_spin_unlock_irqrestore();
 1) + 26.016 us   |                }
 1) + 36.000 us   |              }
 0)               |      hrtimer_start_range_ns() {
 1)               |              tty_write_room() {
 1)               |                uart_write_room() {
 0) + 11.104 us   |        _raw_spin_lock_irqsave();
 1)   4.688 us    |                  _raw_spin_lock_irqsave();
 1)   4.672 us    |                  _raw_spin_unlock_irqrestore();
 1) + 25.264 us   |                }
 0)               |        __remove_hrtimer() {
 1) + 35.088 us   |              }
 1) ! 109.584 us  |            }
 1)               |            tty_ldisc_deref() {
 0)               |          hrtimer_force_reprogram() {
 1)   4.944 us    |              ldsem_up_read();
 1) + 14.624 us   |            }
 0) + 11.568 us   |            __hrtimer_next_event_base();
 1) ! 160.944 us  |          }
 1)               |          poll_freewait() {
 1)               |            remove_wait_queue() {
 1)   4.816 us    |              _raw_spin_lock_irqsave();
 0) + 15.584 us   |            __hrtimer_next_event_base();
 1)   4.912 us    |              _raw_spin_unlock_irqrestore();
 1) + 24.464 us   |            }
 0)               |            tick_program_event() {
 1)               |            fput() {
 0)               |              clockevents_program_event() {
 1)   5.440 us    |              fput_many();
 0)               |                ktime_get() {
 0)   6.704 us    |                  arch_counter_read();
 1) + 15.360 us   |            }
 1)               |            remove_wait_queue() {
 0) + 16.624 us   |                }
 1) + 40.480 us   |              _raw_spin_lock_irqsave();
 1)   5.856 us    |              _raw_spin_unlock_irqrestore();
 0) + 29.520 us   |                arch_timer_set_next_event_virt();
 1) + 66.896 us   |            }
 1)               |            fput() {
 1)   6.144 us    |              fput_many();
 0) ! 107.952 us  |              }
 1) + 15.328 us   |            }
 1) ! 158.240 us  |          }
 0) ! 124.112 us  |            }
 1) @ 239365.1 us |        } /* do_sys_poll */
 1)   5.776 us    |        poll_select_finish();
 0) ! 192.096 us  |          }
 1) @ 239399.2 us |      } /* __arm64_sys_ppoll */
 1) @ 239410.7 us |    } /* el0_svc_common.constprop.0 */
 1) @ 239421.9 us |  } /* el0_svc_handler */
 0) ! 223.152 us  |        }
 0) + 10.240 us   |        enqueue_hrtimer();
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 0)               |        hrtimer_reprogram() {
 1)               |      __arm64_sys_read() {
 0)               |          tick_program_event() {
 1)               |        ksys_read() {
 0)               |            clockevents_program_event() {
 1)   5.712 us    |          __fdget_pos();
 0)               |              ktime_get() {
 0)   4.928 us    |                arch_counter_read();
 1)               |          vfs_read() {
 0) + 15.264 us   |              }
 1)               |            rw_verify_area() {
 0) + 16.416 us   |              arch_timer_set_next_event_virt();
 0) + 45.792 us   |            }
 1)               |              security_file_permission() {
 0) + 55.456 us   |          }
 0) + 66.192 us   |        }
 1)   6.128 us    |                __fsnotify_parent();
 0)   5.664 us    |        _raw_spin_unlock_irqrestore();
 1)   6.752 us    |                fsnotify();
 0) ! 381.936 us  |      }
 0)   6.208 us    |      nohz_balance_enter_idle();
 1) + 32.176 us   |              }
 1) + 61.072 us   |            }
 1)               |            __vfs_read() {
 0) ! 614.752 us  |    }
 0)               |    rcu_idle_enter() {
 1)               |              tty_read() {
 0)   4.784 us    |      rcu_preempt_deferred_qs();
 1)   5.952 us    |                tty_paranoia_check();
 0) + 15.680 us   |    }
 1)               |                tty_ldisc_ref_wait() {
 0)               |    arch_cpu_idle() {
 1)   6.336 us    |                  ldsem_down_read();
 1) + 17.632 us   |                }
 1)               |                n_tty_read() {
 1)   5.472 us    |                  mutex_lock_interruptible();
 1)   5.632 us    |                  down_read();
 1)               |                  add_wait_queue() {
 1)   4.832 us    |                    _raw_spin_lock_irqsave();
 1)   5.072 us    |                    _raw_spin_unlock_irqrestore();
 1) + 25.184 us   |                  }
 1)               |                  copy_from_read_buf() {
 1)   5.200 us    |                    tty_audit_add_data();
 1) + 17.792 us   |                  }
 1)   5.152 us    |                  copy_from_read_buf();
 1)   5.472 us    |                  n_tty_kick_worker();
 1)               |                  tty_unthrottle_safe() {
 1)   5.120 us    |                    mutex_lock();
 1)   5.808 us    |                    mutex_unlock();
 1) + 25.504 us   |                  }
 1)   4.896 us    |                  n_tty_kick_worker();
 1)   5.888 us    |                  up_read();
 1)               |                  remove_wait_queue() {
 1)   4.736 us    |                    _raw_spin_lock_irqsave();
 1)   4.896 us    |                    _raw_spin_unlock_irqrestore();
 1) + 23.840 us   |                  }
 1)   5.024 us    |                  mutex_unlock();
 1) ! 192.336 us  |                }
 1)               |                tty_ldisc_deref() {
 1)   4.784 us    |                  ldsem_up_read();
 1) + 14.064 us   |                }
 1)   5.008 us    |                ktime_get_real_seconds();
 1) ! 267.200 us  |              }
 1) ! 277.392 us  |            }
 1)   5.120 us    |            __fsnotify_parent();
 1)   4.992 us    |            fsnotify();
 1) ! 375.584 us  |          }
 1) ! 397.376 us  |        }
 1) ! 406.896 us  |      }
 1) ! 422.048 us  |    }
 1) ! 432.096 us  |  }
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_ppoll() {
 1)   7.344 us    |        get_timespec64();
 1)               |        ktime_get_ts64() {
 1)   5.040 us    |          arch_counter_read();
 1) + 15.872 us   |        }
 1)   5.264 us    |        timespec64_add_safe();
 1)   5.216 us    |        set_user_sigmask();
 1)               |        do_sys_poll() {
 1)               |          select_estimate_accuracy() {
 1)               |            ktime_get_ts64() {
 1)   4.576 us    |              arch_counter_read();
 1) + 13.744 us   |            }
 1)   5.408 us    |            set_normalized_timespec64();
 1) + 35.344 us   |          }
 1)   5.296 us    |          __fdget();
 1)               |          tty_poll() {
 1)               |            tty_ldisc_ref_wait() {
 1)   4.896 us    |              ldsem_down_read();
 1) + 21.312 us   |            }
 1)               |            n_tty_poll() {
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   4.768 us    |                  _raw_spin_lock_irqsave();
 1)   5.248 us    |                  _raw_spin_unlock_irqrestore();
 1) + 23.936 us   |                }
 1) + 33.936 us   |              }
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   4.512 us    |                  _raw_spin_lock_irqsave();
 1)   4.896 us    |                  _raw_spin_unlock_irqrestore();
 1) + 22.672 us   |                }
 1) + 31.584 us   |              }
 1)   5.088 us    |              tty_hung_up_p();
 1)   4.800 us    |              mutex_is_locked();
 1)               |              tty_chars_in_buffer() {
 1)               |                uart_chars_in_buffer() {
 1)   4.608 us    |                  _raw_spin_lock_irqsave();
 1)   4.896 us    |                  _raw_spin_unlock_irqrestore();
 1) + 23.696 us   |                }
 1) + 32.800 us   |              }
 1)               |              tty_write_room() {
 1)               |                uart_write_room() {
 1)   4.512 us    |                  _raw_spin_lock_irqsave();
 1)   4.816 us    |                  _raw_spin_unlock_irqrestore();
 1) + 23.520 us   |                }
 1) + 32.672 us   |              }
 1) ! 174.288 us  |            }
 1)               |            tty_ldisc_deref() {
 1)   4.656 us    |              ldsem_up_read();
 1) + 14.144 us   |            }
 1) ! 228.560 us  |          }
 1)               |          poll_freewait() {
 1)               |            remove_wait_queue() {
 1)   4.608 us    |              _raw_spin_lock_irqsave();
 1)   4.800 us    |              _raw_spin_unlock_irqrestore();
 1) + 23.456 us   |            }
 1)               |            fput() {
 1)   4.704 us    |              fput_many();
 1) + 14.016 us   |            }
 1)               |            remove_wait_queue() {
 1) ! 102.544 us  |              _raw_spin_lock_irqsave();
 1)   6.464 us    |              _raw_spin_unlock_irqrestore();
 1) ! 126.736 us  |            }
 1)               |            fput() {
 1)   4.496 us    |              fput_many();
 1) + 13.520 us   |            }
 1) ! 199.920 us  |          }
 1) ! 494.976 us  |        }
 1)               |        poll_select_finish() {
 1)               |          ktime_get_ts64() {
 1)   4.640 us    |            arch_counter_read();
 1) + 13.952 us   |          }
 1)   4.976 us    |          set_normalized_timespec64();
 1)   6.704 us    |          put_timespec64();
 1) + 45.440 us   |        }
 1) ! 608.544 us  |      }
 1) ! 618.480 us  |    }
 1) ! 628.016 us  |  }
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_read() {
 1)               |        ksys_read() {
 1)   4.800 us    |          __fdget_pos();
 1)               |          vfs_read() {
 1)               |            rw_verify_area() {
 1)               |              security_file_permission() {
 1)   4.752 us    |                __fsnotify_parent();
 1)   5.456 us    |                fsnotify();
 1) + 24.208 us   |              }
 1) + 33.024 us   |            }
 1)               |            __vfs_read() {
 1)               |              tty_read() {
 1)   4.368 us    |                tty_paranoia_check();
 1)               |                tty_ldisc_ref_wait() {
 1)   4.720 us    |                  ldsem_down_read();
 1) + 14.368 us   |                }
 1)               |                n_tty_read() {
 1)   4.864 us    |                  mutex_lock_interruptible();
 1)   5.136 us    |                  down_read();
 1)               |                  add_wait_queue() {
 1)   4.544 us    |                    _raw_spin_lock_irqsave();
 1)   4.912 us    |                    _raw_spin_unlock_irqrestore();
 1) + 23.552 us   |                  }
 1)               |                  copy_from_read_buf() {
 1)   5.264 us    |                    tty_audit_add_data();
 1) + 15.840 us   |                  }
 1)   4.944 us    |                  copy_from_read_buf();
 1)   4.864 us    |                  n_tty_kick_worker();
 1)               |                  tty_unthrottle_safe() {
 1)   4.912 us    |                    mutex_lock();
 1)   5.392 us    |                    mutex_unlock();
 1) + 24.480 us   |                  }
 1)   4.768 us    |                  n_tty_kick_worker();
 1)   5.264 us    |                  up_read();
 1)               |                  remove_wait_queue() {
 1)   4.768 us    |                    _raw_spin_lock_irqsave();
 1)   4.880 us    |                    _raw_spin_unlock_irqrestore();
 1) + 23.472 us   |                  }
 1)   4.784 us    |                  mutex_unlock();
 1) ! 187.040 us  |                }
 1)               |                tty_ldisc_deref() {
 1)   4.784 us    |                  ldsem_up_read();
 1) + 13.840 us   |                }
 1)   4.752 us    |                ktime_get_real_seconds();
 1) ! 252.512 us  |              }
 1) ! 261.616 us  |            }
 1)   4.832 us    |            __fsnotify_parent();
 1)   4.896 us    |            fsnotify();
 1) ! 326.912 us  |          }
 1) ! 345.520 us  |        }
 1) ! 354.064 us  |      }
 1) ! 363.136 us  |    }
 1) ! 372.112 us  |  }
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_ppoll() {
 1)   5.712 us    |        get_timespec64();
 1)               |        ktime_get_ts64() {
 1)   4.768 us    |          arch_counter_read();
 1) + 14.288 us   |        }
 1)   4.912 us    |        timespec64_add_safe();
 1)   4.864 us    |        set_user_sigmask();
 1)               |        do_sys_poll() {
 1)               |          select_estimate_accuracy() {
 1)               |            ktime_get_ts64() {
 1)   4.624 us    |              arch_counter_read();
 1) + 13.472 us   |            }
 1)   4.896 us    |            set_normalized_timespec64();
 1) + 31.856 us   |          }
 1)   4.912 us    |          __fdget();
 1)               |          tty_poll() {
 1)               |            tty_ldisc_ref_wait() {
 1)   4.736 us    |              ldsem_down_read();
 1) + 13.760 us   |            }
 1)               |            n_tty_poll() {
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   4.640 us    |                  _raw_spin_lock_irqsave();
 1)   5.072 us    |                  _raw_spin_unlock_irqrestore();
 1) + 22.896 us   |                }
 1) + 31.952 us   |              }
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   4.432 us    |                  _raw_spin_lock_irqsave();
 1)   4.752 us    |                  _raw_spin_unlock_irqrestore();
 1) + 21.840 us   |                }
 1) + 30.640 us   |              }
 1)   4.832 us    |              tty_hung_up_p();
 1)   4.752 us    |              mutex_is_locked();
 1)               |              tty_chars_in_buffer() {
 1)               |                uart_chars_in_buffer() {
 1)   4.448 us    |                  _raw_spin_lock_irqsave();
 1)   4.640 us    |                  _raw_spin_unlock_irqrestore();
 1) + 22.672 us   |                }
 1) + 31.600 us   |              }
 1)               |              tty_write_room() {
 1)               |                uart_write_room() {
 1)   4.688 us    |                  _raw_spin_lock_irqsave();
 1)   4.624 us    |                  _raw_spin_unlock_irqrestore();
 1) + 23.056 us   |                }
 1) + 31.936 us   |              }
 1) ! 167.376 us  |            }
 1)               |            tty_ldisc_deref() {
 1)   4.736 us    |              ldsem_up_read();
 1) + 20.112 us   |            }
 1) ! 219.136 us  |          }
 1)               |          poll_freewait() {
 1)               |            remove_wait_queue() {
 1)   4.592 us    |              _raw_spin_lock_irqsave();
 1)   4.832 us    |              _raw_spin_unlock_irqrestore();
 1) + 23.328 us   |            }
 1)               |            fput() {
 1)   4.688 us    |              fput_many();
 1) + 13.712 us   |            }
 1)               |            remove_wait_queue() {
 1)   7.600 us    |              _raw_spin_lock_irqsave();
 1)   5.024 us    |              _raw_spin_unlock_irqrestore();
 1) + 50.928 us   |            }
 1)               |            fput() {
 1)   4.448 us    |              fput_many();
 1) + 13.168 us   |            }
 1) ! 123.152 us  |          }
 1) ! 402.656 us  |        }
 1)               |        poll_select_finish() {
 1)               |          ktime_get_ts64() {
 1)   4.720 us    |            arch_counter_read();
 1) + 13.984 us   |          }
 1)   4.928 us    |          set_normalized_timespec64();
 1)   6.080 us    |          put_timespec64();
 1) + 43.968 us   |        }
 1) ! 508.224 us  |      }
 1) ! 517.440 us  |    }
 1) ! 526.512 us  |  }
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_read() {
 1)               |        ksys_read() {
 1)   4.688 us    |          __fdget_pos();
 1)               |          vfs_read() {
 1)               |            rw_verify_area() {
 1)               |              security_file_permission() {
 1)   4.656 us    |                __fsnotify_parent();
 1)   5.152 us    |                fsnotify();
 1) + 23.872 us   |              }
 1) + 32.688 us   |            }
 1)               |            __vfs_read() {
 1)               |              tty_read() {
 1)   4.544 us    |                tty_paranoia_check();
 1)               |                tty_ldisc_ref_wait() {
 1)   4.736 us    |                  ldsem_down_read();
 1) + 14.416 us   |                }
 1)               |                n_tty_read() {
 1)   4.752 us    |                  mutex_lock_interruptible();
 1)   5.120 us    |                  down_read();
 1)               |                  add_wait_queue() {
 1)   4.704 us    |                    _raw_spin_lock_irqsave();
 1)   5.408 us    |                    _raw_spin_unlock_irqrestore();
 1) + 24.176 us   |                  }
 1)               |                  copy_from_read_buf() {
 1)   4.688 us    |                    tty_audit_add_data();
 1) + 14.688 us   |                  }
 1)   4.784 us    |                  copy_from_read_buf();
 1)   4.832 us    |                  n_tty_kick_worker();
 1)               |                  tty_unthrottle_safe() {
 1)   4.736 us    |                    mutex_lock();
 1)   5.248 us    |                    mutex_unlock();
 1) + 23.776 us   |                  }
 1)   4.848 us    |                  n_tty_kick_worker();
 1)   5.104 us    |                  up_read();
 1)               |                  remove_wait_queue() {
 1)   4.576 us    |                    _raw_spin_lock_irqsave();
 1)   4.720 us    |                    _raw_spin_unlock_irqrestore();
 1) + 22.992 us   |                  }
 1)   4.832 us    |                  mutex_unlock();
 1) ! 175.504 us  |                }
 1)               |                tty_ldisc_deref() {
 1)   4.784 us    |                  ldsem_up_read();
 1) + 13.920 us   |                }
 1)   4.816 us    |                ktime_get_real_seconds();
 1) ! 240.928 us  |              }
 1) ! 250.000 us  |            }
 1)   4.832 us    |            __fsnotify_parent();
 1)   4.864 us    |            fsnotify();
 1) ! 322.288 us  |          }
 1) ! 340.736 us  |        }
 1) ! 349.552 us  |      }
 1) ! 359.120 us  |    }
 1) ! 368.224 us  |  }
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_write() {
 1)               |        ksys_write() {
 1)   5.376 us    |          __fdget_pos();
 1)               |          vfs_write() {
 1)               |            rw_verify_area() {
 1)   4.576 us    |              security_file_permission();
 1) + 13.872 us   |            }
 1)               |            __vfs_write() {
 1)               |              redirected_tty_write() {
 1)   5.232 us    |                _raw_spin_lock();
 1)   5.216 us    |                _raw_spin_unlock();
 1)               |                tty_write() {
 1)   4.528 us    |                  tty_paranoia_check();
 1)               |                  tty_ldisc_ref_wait() {
 1)   4.720 us    |                    ldsem_down_read();
 1) + 14.320 us   |                  }
 1)   6.176 us    |                  mutex_trylock();
 1)               |                  n_tty_write() {
 1)   4.736 us    |                    down_read();
 1)   5.280 us    |                    process_echoes();
 1)               |                    add_wait_queue() {
 1)   4.848 us    |                      _raw_spin_lock_irqsave();
 1)   5.200 us    |                      _raw_spin_unlock_irqrestore();
 1) + 24.080 us   |                    }
 1)   4.880 us    |                    tty_hung_up_p();
 1)   5.040 us    |                    mutex_lock();
 1)               |                    tty_write_room() {
 1)               |                      uart_write_room() {
 1)   4.704 us    |                        _raw_spin_lock_irqsave();
 1)   4.896 us    |                        _raw_spin_unlock_irqrestore();
 1) + 23.808 us   |                      }
 1) + 33.008 us   |                    }
 1)               |                    uart_write() {
 1)   4.592 us    |                      _raw_spin_lock_irqsave();
 1)               |                      __uart_start.isra.0() {
 1)               |                        pl011_start_tx() {
 1)               |                          pl011_tx_chars() {
 1)   6.288 us    |                            pl011_read();
